20200818_03_54_38;25.41;109316.644531;44.517578125
20200818_20_45_13;24.08;115790.113281;48.7734375
20200818_11_06_22;25.38;109587.21875;45.0205078125
20200818_12_17_57;25.51;108916.757812;44.3232421875
20200818_11_45_45;25.5;108992.972656;44.5634765625
20200818_03_59_04;25.41;109316.644531;44.6982421875
20200818_06_54_19;25.3;109905.316406;47.3447265625
20200818_10_57_54;25.36;109711.21875;44.994140625
20200818_03_14_48;25.41;109301.902344;43.84375
20200818_20_00_19;25.47;109104.453125;44.3310546875
20200818_07_37_50;25.3;109976.679688;47.7041015625
20200818_08_20_52;25.3;109973.171875;47.7412109375
20200818_06_55_22;25.3;109929.476562;47.416015625
20200818_03_45_18;25.45;109131.988281;44.1728515625
20200818_02_29_34;25.26;110032.828125;42.9638671875
20200818_20_44_52;24.06;115914.90625;48.375
20200818_13_02_03;25.72;107864.820312;43.3564453125
20200818_12_08_57;25.54;108776.328125;44.3984375
20200818_08_23_08;25.27;110095.78125;47.7138671875
20200818_03_15_09;25.41;109274.679688;43.880859375
20200818_08_39_44;25.31;109951.957031;47.4287109375
20200818_07_17_17;25.29;109975.210938;47.546875
20200818_02_44_17;25.43;109178.59375;42.8720703125
20200818_07_00_20;25.3;109935.375;47.427734375
20200818_12_07_33;25.55;108718.636719;44.4248046875
20200818_20_14_16;24.88;111996.734375;45.6181640625
20200818_08_54_21;24.59;113417.609375;48.3134765625
20200818_11_41_53;25.46;109202.4375;44.7158203125
20200818_03_37_02;25.42;109258.300781;44.1943359375
20200818_05_19_58;25.36;109566.09375;45.96875
20200818_09_43_59;25.04;111241.125;46.9443359375
20200818_06_19_00;25.35;109630.210938;46.67578125
20200818_12_53_55;25.72;107837.265625;43.4169921875
20200818_04_29_17;25.41;109301.203125;44.9873046875
20200818_07_52_54;25.33;109816.449219;47.7080078125
20200818_12_03_41;25.56;108707.972656;44.4365234375
20200818_04_36_18;25.39;109436.199219;45.0693359375
20200818_06_35_43;25.29;109942.753906;47.005859375
20200818_07_39_50;25.27;110108.113281;47.869140625
20200818_11_42_56;25.49;109078.808594;44.5849609375
20200818_08_33_01;25.32;109902.675781;47.609375
20200818_12_51_17;25.71;107890.371094;43.548828125
20200818_02_53_52;25.45;109087.046875;43.1259765625
20200818_10_48_28;25.3;110035.691406;45.095703125
20200818_07_31_23;25.33;109815.027344;47.634765625
20200818_11_17_01;25.38;109578.375;44.9599609375
20200818_05_22_03;25.38;109466.347656;45.9580078125
20200818_10_43_44;25.24;110305.761719;45.3056640625
20200818_10_01_54;25.16;110703.015625;46.5
20200818_11_28_03;25.44;109301.613281;44.76171875
20200818_02_28_21;25.25;110109.039062;43.046875
20200818_04_31_54;25.4;109353.640625;45.1064453125
20200818_04_55_49;25.36;109574.941406;45.51171875
20200818_20_23_30;24.47;113930.523438;46.8134765625
20200818_03_18_18;25.43;109197.933594;43.978515625
20200818_03_22_09;25.46;109049.246094;43.9697265625
20200818_10_47_04;25.28;110107.054688;45.3466796875
20200818_04_49_01;25.39;109456.835938;45.345703125
20200818_05_05_01;25.39;109456.835938;45.6826171875
20200818_07_02_09;25.27;110030.863281;47.73828125
20200818_10_59_19;25.36;109711.21875;45.1259765625
20200818_02_15_24;24.78;112411.886719;43.638671875
20200818_05_42_57;25.38;109475.191406;46.22265625
20200818_20_30_26;24.38;114375.4375;46.83984375
20200818_09_42_35;25.04;111247.039062;46.9921875
20200818_05_20_19;25.36;109593.265625;45.9921875
20200818_11_05_50;25.36;109689.9375;45.0068359375
20200818_07_30_52;25.34;109771.601562;47.79296875
20200818_03_18_50;25.47;109024.914062;43.861328125
20200818_06_18_18;25.34;109670.71875;46.6513671875
20200818_13_16_37;25.82;107365.15625;42.82421875
20200818_09_55_06;25.11;110933.46875;46.6279296875
20200818_04_30_51;25.41;109322.535156;44.9873046875
20200818_02_04_54;24.32;114600.867188;44.302734375
